feature,importance
alcohol,0.3139101412282286
sulphates,0.1511560583825657
volatile acidity,0.13184087640552936
total sulfur dioxide,0.07615172474767268
chlorides,0.05697783717617351
pH,0.05203311398739225
fixed acidity,0.04905898384847248
citric acid,0.046150386531339495
residual sugar,0.041898842562136274
density,0.04116330520949194
free sulfur dioxide,0.03965872992099779
