model,dataset,MAD,MAD_std,MSE,RMSE,cv_method
Random Forest,Red,0.443297093712938,0.01988601166486926,0.35271028688767053,0.5932659935570014,5-fold x 20
Random Forest,White,0.5017110124563091,0.010766243043526365,0.42782414650829587,0.6538933407623735,5-fold x 20
