model,dataset,MAD,MAD_std,MSE,RMSE,cv_method
Random Forest,Red,0.4194301342084639,0.019827946937430282,0.33955665608346386,0.5820085209208755,5-fold x 20
Random Forest,White,0.43389986898334415,0.01229799553521352,0.37160313307102205,0.6093210132444836,5-fold x 20
