model,dataset,MAD,MAD_std,MSE,RMSE,cv_method
Linear Regression,Red,0.5050160399387099,0.02305714294098299,0.42543427167017706,0.6515923722976467,5-fold x 20
Linear Regression,White,0.5857405667289227,0.01192959773114422,0.5692380627317137,0.7542748253826936,5-fold x 20
