feature,importance
alcohol,0.327063143528701
volatile acidity,0.14633913952315725
free sulfur dioxide,0.12107205057533867
residual sugar,0.05885429702363758
pH,0.05516000379817079
total sulfur dioxide,0.053926500377597504
density,0.049505128181363586
fixed acidity,0.04946034689811494
chlorides,0.04758952917178852
citric acid,0.04644409280564152
sulphates,0.04458576811648867
