feature,importance
fixed acidity,0.036614176
volatile acidity,0.101012655
citric acid,0.051884387
residual sugar,0.066245444
chlorides,0.05705823
free sulfur dioxide,0.112946615
total sulfur dioxide,0.054357804
density,0.063036755
pH,0.062023353
sulphates,0.064951226
alcohol,0.32986933
