feature,importance
fixed acidity,0.05192136251044952
volatile acidity,0.1266776216111124
citric acid,0.0489669306126349
residual sugar,0.05286837980825593
chlorides,0.0639335090410376
free sulfur dioxide,0.04593628221905648
total sulfur dioxide,0.07923662554228178
density,0.052903687621003684
pH,0.05906115784454294
sulphates,0.14037707546129696
alcohol,0.27811736772832785
