feature,importance
fixed acidity,0.06202817569368816
volatile acidity,0.12426226804016267
citric acid,0.05802931397288658
residual sugar,0.07026555010616824
chlorides,0.061876222256431815
free sulfur dioxide,0.11557185802797298
total sulfur dioxide,0.0710681238858059
density,0.06422654701397736
pH,0.06867852212657799
sulphates,0.059991069341788834
alcohol,0.24400234953453945
