model,dataset,MAD,MAD_std,MSE,RMSE,cv_method
Linear Regression,Red,0.5050160399387099,0.02305714294098299,0.42543427167017706,0.6515923722976467,5-fold x 20
Linear Regression,White,0.5857405667289227,0.01192959773114422,0.5692380627317137,0.7542748253826936,5-fold x 20
XGBoost,Red,0.41111723899841307,0.020885710767779734,0.3723331528902054,0.6095375224440072,5-fold x 20
XGBoost,White,0.4522272482514381,0.013314641724407954,0.4061465173959732,0.6370313700386745,5-fold x 20
Random Forest,Red,0.4194301342084639,0.019827946937430282,0.33955665608346386,0.5820085209208755,5-fold x 20
Random Forest,White,0.43389986898334415,0.01229799553521352,0.37160313307102205,0.6093210132444836,5-fold x 20
SVM,Red,0.460068279573162,0.02137591818209059,0.3915916668633196,0.6251555487914007,5-fold x 20
SVM,White,0.5169565043345248,0.010564733243760638,0.47367244330122765,0.6880912016179349,5-fold x 20
