model,dataset,MAD,MAD_std,MSE,RMSE,cv_method
SVM,Red,0.45481437334639624,0.022245031795874066,0.3956148066575147,0.6283531574288355,5-fold x 20
SVM,White,0.5169565043345247,0.010564733243760626,0.4736724433012276,0.6880912016179349,5-fold x 20
