feature,importance
fixed acidity,0.032777507
volatile acidity,0.08062354
citric acid,0.043313514
residual sugar,0.05841692
chlorides,0.05273177
free sulfur dioxide,0.05657753
total sulfur dioxide,0.06581404
density,0.042338207
pH,0.06600524
sulphates,0.16177896
alcohol,0.3396228
