model,dataset,MAD,MAD_std,MSE,RMSE,cv_method
Linear Regression,Red,0.506954574445567,0.03683155372806853,0.42876273555540606,0.6535764413508067,5-fold
Linear Regression,White,0.5856535909379266,0.010980099952603605,0.5681454365228932,0.7535476179177489,5-fold
