feature,importance
alcohol,0.37937307
volatile acidity,0.13146956
free sulfur dioxide,0.103325784
residual sugar,0.0612097
density,0.053714365
pH,0.050348315
citric acid,0.04810577
sulphates,0.046667367
chlorides,0.045251213
total sulfur dioxide,0.044763606
fixed acidity,0.035771172
